"","MIDAS","Mean","Median","SD","MAD","N","SE"
"1","3188",6.76133828996283,6.84,0.824424987798174,0.607866,269,0.0502660786573923
"2","3228",2.73833333333333,2.82,0.40627166608892,0.467019,6,0.165859713144707
"3","3234",5.32186666666667,5.37,0.680858229421829,0.681996,225,0.045390548628122
"4","3262",3.83297297297297,3.84,0.502030752018103,0.533736,74,0.0583598894988884
"5","3370",2.935,2.93,0.174052993207369,0.0815429999999999,10,0.0550403892105102
"6","3374",7.61016666666667,7.53,1.0559196742856,0.993341999999999,120,0.0963918374199556
"7","3376",4.61552631578947,4.615,0.578202720475191,0.59304,76,0.0663244007218857
"8","3382",9.61506756756757,9.8,1.07179580793497,0.889560000000002,148,0.0881010727113179
"9","3388",5.43777777777778,5.35,0.454202041991771,0.429954,45,0.0677084427608543
"10","3390",8.95227272727273,8.84,0.909546887810376,1.067472,22,0.193916048040188
"11","3392",6.53402597402597,6.5,0.809574649038552,0.785778,231,0.0532661012531376
"12","3396",7.295,7.355,0.801946764529097,0.867321000000001,138,0.0682662420626242
"13","3414",3.498125,3.475,0.30345167105598,0.326172,16,0.075862917763995
"14","3416",5.9272641509434,5.9,0.673617289095574,0.607866,212,0.0462642253578776
"15","3417",1.47,1.5,0.0620483682299543,0,9,0.0206827894099848
"16","3418",6.12983606557377,6.045,0.737628524849735,0.719061,122,0.0667817487995132
"17","3420",5.40075675675676,5.31,0.902638927203158,1.022994,185,0.066363333775083
"18","3424",7.1998347107438,7.25,0.795840209538609,0.81543,121,0.0723491099580554
"19","3446",8.1503,8.1,0.993126330881882,0.889559999999999,100,0.0993126330881882
"20","3448",5.8034375,5.795,0.920415378241768,0.733887,128,0.0813539944328919
"21","3452",5.65074074074074,5.53,0.815724775825137,0.934038,135,0.0702064104857674
"22","3454",6.89564885496183,6.94,0.917478232176606,0.800604,131,0.0801604453350898
"23","3456",4.90444444444444,4.9,0.712088259198878,0.719061,126,0.0634378641682495
"24","3458",4.47,4.55,0.578446194559183,0.704235,14,0.154596248337403
"25","3690",5.80731707317073,5.8,0.391541979807044,0.222389999999999,41,0.0611485839237787
"26","3694",6.52341666666667,6.51,0.762887588042167,0.615279,120,0.0696417901352339
"27","3696",6.20224576271186,6.2,0.869576345236423,0.81543,236,0.0566045987005074
"28","3700",6.83967032967033,6.89,0.953924584195266,0.978516,91,0.0999984676988159
"29","3706",5.76858490566038,5.845,0.306294096702422,0.289107,106,0.0297499125850552
"30","3708",6.20603448275862,6.345,0.883866878930399,0.96369,116,0.0820649794932379
"31","3712",5.42688524590164,5.5,0.533443641778652,0.44478,122,0.0482957180800683
"32","3714",5.56830409356725,5.73,1.40304300247238,1.445535,342,0.0758678765895472
"33","3728",4.92979166666667,5.05,0.344442130416234,0.170499,48,0.0497159391790152
"34","3734",4.91042042042042,4.9,1.23121492200187,0.889560000000001,333,0.0674701621107838
"35","5780",6.40002673796791,6.4,0.787405383451918,0.889559999999999,374,0.0407157630818795
"36","5786",9.88663042068482,9.60000038146973,1.48871898575464,1.33434084835052,276,0.0896103525525267
"37","9685",6.61166666666667,6.665,0.811801951810653,1.015581,120,0.0741070402055694
